datetime,Haifa_broken clouds,Haifa_drizzle,Haifa_dust,Haifa_few clouds,Haifa_fog,Haifa_haze,Haifa_heavy intensity rain,Haifa_heavy intensity shower rain,Haifa_light rain,Haifa_mist,Haifa_moderate rain,Haifa_overcast clouds,Haifa_proximity thunderstorm,Haifa_scattered clouds,Haifa_shower rain,Haifa_sky is clear,Haifa_thunderstorm,Haifa_thunderstorm with heavy rain,Haifa_thunderstorm with light rain,Haifa_thunderstorm with rain,Haifa_nan,humidity,wind_direction,temperature,pressure,wind_speed
2016-12-12,0.0,0.0,0.0,0.08590223072477648,0.0,0.0,0.0,0.0,0.010436456124420892,0.0,0.0,0.08396430592379733,0.0,0.04174700618792209,0.0,0.08366500526508575,0.0,0.0,0.0,0.0,0.0,0.21476819077510365,0.14487551574995042,0.11715184484013547,0.16472014159463824,0.0527693028141697
2016-12-13,0.0,0.0,0.0,0.0,0.039696375777196015,0.0,0.020221033190939073,0.0,0.020872912248841784,0.13281100549313138,0.06555746426126118,0.0,0.0,0.012335283675911081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25147278966764425,0.15547997188643933,0.09797778388024819,0.10595040850130118,0.09762497141708654
2016-12-14,0.012926861280249684,0.011535853484798464,0.0,0.028489567986404934,0.0,0.0,0.0,0.0,0.07030502845735498,0.0,0.04665193189146959,0.0,0.0,0.038730833871054623,0.06525675665739293,0.0093283038433509,0.0,0.0,0.0,0.0,0.0,0.19531494259826354,0.223458691078268,0.08641737174458371,0.09225123354307663,0.11933262356373199
2016-12-15,0.04862757322508763,0.0,0.0,0.06688292494374534,0.0,0.0,0.0,0.0,0.06035677633330414,0.0,0.0,0.0,0.0,0.04318227495144016,0.0,0.07512302071389941,0.0,0.0,0.0,0.0,0.0,0.21155303372445708,0.18036130560431327,0.08942094125345139,0.1668277002821967,0.05766444896810486
2016-12-16,0.0,0.012908799974063469,0.0,0.055086744414621865,0.0,0.0,0.0,0.0,0.11430716120876673,0.057332125192008254,0.010450908763381943,0.01102881075826019,0.0,0.0,0.0,0.03918147518240975,0.0,0.0,0.0,0.0,0.0,0.2658493655606849,0.12288478002265296,0.08952590371694101,0.17989202475496988,0.04155190045123909
2016-12-17,0.05150540406975387,0.013347240115436726,0.0,0.07016901567072777,0.0,0.0,0.0,0.0,0.06936813441490604,0.0,0.025964087684870272,0.012006332000415754,0.0,0.06464384022056369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263741970910912,0.08110081366680832,0.09379774974085871,0.1995531831771088,0.054802228327638064
2016-12-18,0.023820755985096854,0.0,0.0,0.09882238091258104,0.0,0.015548596534818056,0.0,0.0,0.045795652047151934,0.0842541780082038,0.0,0.0,0.0,0.0,0.0,0.0503206267628481,0.0,0.0,0.0,0.0,0.0,0.24507181002675363,0.061649201798095056,0.09544049913539743,0.20440844498454816,0.07486785380450595
2016-12-19,0.038890475209190783,0.0,0.0,0.10317171965577965,0.0,0.0,0.0,0.0,0.05161213010777523,0.0,0.05450353616083223,0.0,0.0,0.015399080006153476,0.0,0.05860192283790988,0.0,0.0,0.0,0.0,0.0,0.25092103136788907,0.06577254848714957,0.08331038814483034,0.2139817061212371,0.06383546190125271
2016-12-20,0.010707612724101902,0.0,0.0,0.21821995720953455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05692249405273569,0.0,0.041671047343651846,0.0,0.0,0.0,0.0,0.0,0.24153595278122575,0.08455546038432706,0.08432112060365549,0.2158170086768534,0.0462493462239143
2016-12-21,0.021415225448203803,0.0,0.0,0.08202472251124708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03193732028972196,0.0,0.09026381599516474,0.0,0.08512826432470832,0.0,0.0,0.0,0.0,0.0,0.22533476664453697,0.12740486656733063,0.09128883965357876,0.16672694698122495,0.07847523158428278
