datetime,Indianapolis_broken clouds,Indianapolis_drizzle,Indianapolis_few clouds,Indianapolis_fog,Indianapolis_freezing rain,Indianapolis_haze,Indianapolis_heavy intensity drizzle,Indianapolis_heavy intensity rain,Indianapolis_heavy snow,Indianapolis_light intensity drizzle,Indianapolis_light intensity shower rain,Indianapolis_light rain,Indianapolis_light snow,Indianapolis_mist,Indianapolis_moderate rain,Indianapolis_overcast clouds,Indianapolis_proximity thunderstorm,Indianapolis_proximity thunderstorm with rain,Indianapolis_scattered clouds,Indianapolis_sky is clear,Indianapolis_snow,Indianapolis_squalls,Indianapolis_thunderstorm,Indianapolis_thunderstorm with heavy rain,Indianapolis_thunderstorm with light drizzle,Indianapolis_thunderstorm with light rain,Indianapolis_thunderstorm with rain,Indianapolis_very heavy rain,Indianapolis_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-09-24,0.012357578381522821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012008017567980337,0.0,0.0,0.024752789874204675,0.2525722470896942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19426495787225326,0.09324981356183563,0.19552605881085838,0.19099687809666407,0.02427165874498667
2013-09-25,0.05016846047900624,0.0,0.03936339160103456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06298204021258888,0.0,0.0,0.0,0.025299161941527915,0.0,0.0,0.038789831153166275,0.09258425099663296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19426700285764698,0.07195813437473987,0.21484767251617654,0.18906452227718662,0.020675531590293228
2013-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05048531120591002,0.0,0.0,0.0,0.0,0.0,0.2647799644094924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19485716139827738,0.04919632798935746,0.21416903632359394,0.1967288032938029,0.029783395379565914
2013-09-27,0.0,0.0,0.013644391380373792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012276240523706912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27621136940977925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18581552044541952,0.08782494171815851,0.2081795482426502,0.19437166011473353,0.02167632816517838
2013-09-28,0.0,0.0,0.013159720877521666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04954102099315969,0.22917146809667246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173489305802105,0.11300080066172637,0.19741808959520146,0.18852803628825254,0.03569155768536076
2013-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105598569907257,0.0,0.021407358839437507,0.0,0.05190070632603977,0.03144663961503861,0.05731069182163325,0.0,0.0,0.011758781933347546,0.08109127122511604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19754175007930774,0.15551428749693372,0.18285890805219818,0.16817186925629957,0.030437878363922397
2013-09-30,0.05588343508222066,0.0,0.0,0.09163186455784013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021021003242793625,0.0650220742883545,0.03278250748064921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199601242162927,0.13960702961757102,0.18119813407298982,0.16992697760070222,0.022966849840586084
2013-10-01,0.06436198287066912,0.0,0.043224126980556506,0.0,0.0,0.01099605619250875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01094374873098791,0.0,0.0,0.0,0.0,0.06446518608096186,0.06564036372134587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208177266914782,0.14370945112933248,0.1853047273516648,0.17374339908937816,0.029433690937812517
2013-10-02,0.05414425309497254,0.0,0.031961058782753064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010877364476810305,0.0,0.0,0.021727203768370795,0.1367921645096581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2138955062058425,0.14537481384840312,0.1864250375475438,0.17280430085356033,0.025998296912085495
2013-10-03,0.04222336082284248,0.0,0.0,0.0,0.0,0.0,0.0,0.010208216457862738,0.0,0.0,0.0,0.01020207693535668,0.0,0.041520939718829586,0.0,0.07386733946170913,0.0,0.0,0.0339145649597512,0.044736732721653266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2042239589912976,0.1439056237800748,0.19434825249716423,0.1630666746123117,0.03778225904114658
