datetime,Toronto_broken clouds,Toronto_drizzle,Toronto_few clouds,Toronto_fog,Toronto_freezing rain,Toronto_haze,Toronto_heavy intensity rain,Toronto_heavy intensity shower rain,Toronto_heavy shower snow,Toronto_heavy snow,Toronto_light intensity drizzle,Toronto_light intensity drizzle rain,Toronto_light intensity shower rain,Toronto_light rain,Toronto_light rain and snow,Toronto_light shower sleet,Toronto_light shower snow,Toronto_light snow,Toronto_mist,Toronto_moderate rain,Toronto_overcast clouds,Toronto_proximity shower rain,Toronto_proximity thunderstorm,Toronto_rain and snow,Toronto_scattered clouds,Toronto_shower rain,Toronto_shower snow,Toronto_sky is clear,Toronto_snow,Toronto_squalls,Toronto_thunderstorm,Toronto_thunderstorm with heavy rain,Toronto_thunderstorm with light rain,Toronto_thunderstorm with rain,Toronto_very heavy rain,Toronto_nan,humidity,wind_direction,temperature,pressure,wind_speed
2017-09-23,0.0,0.0,0.021345902481165014,0.0,0.0,0.0224885241480703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010836114292481908,0.0,0.0,0.21448371423394308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18048303057225792,0.12593156296041644,0.21675434963431686,0.1885631463021575,0.01911365537519096
2017-09-24,0.0,0.0,0.0,0.0,0.0,0.04266990959615357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022003213835624705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889303063930391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999637819650774,0.1531794910620377,0.21550225686978122,0.17847672356178776,0.01924172048506817
2017-09-25,0.0,0.0,0.0,0.0,0.0,0.09170504547878822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01118099590765626,0.0,0.0,0.0,0.0,0.023212512152429077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14537479322404853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875569323930368,0.09785063529585347,0.23134406857931664,0.18852742725578628,0.023247589713084767
2017-09-26,0.0,0.0,0.0,0.0,0.0,0.035054454607432776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023507375714515288,0.0,0.0,0.0,0.0,0.0,0.02293381338963388,0.0,0.0,0.1952467241243562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20991696043638708,0.06398738313421165,0.23308363476563318,0.18560039709382456,0.030669256734005418
2017-09-27,0.021065273095172938,0.0,0.0,0.0,0.0,0.04137542990457941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020420029814779344,0.0,0.0,0.0,0.0,0.11944323547348172,0.0,0.009200307537822828,0.0,0.0,0.0,0.0,0.0,0.0,0.04285442684083222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1879892518912536,0.14278523733509185,0.20940559340878082,0.1639425849495693,0.04151862974863602
2017-09-28,0.06342005025935864,0.0,0.010568765753302123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07399562226219392,0.0,0.0,0.0,0.010499060841139178,0.0,0.0,0.09385762193925606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1262824810261333,0.21781611999134012,0.17346458537249831,0.17057334129882085,0.05952235125595751
2017-09-29,0.012891010997411216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03396106780072001,0.0,0.0,0.0,0.0,0.0,0.05873154050800755,0.0,0.0,0.020051113752213783,0.009328913820697884,0.0,0.023597315775261547,0.0,0.0,0.11274519750235369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16871467449323305,0.15518298175003986,0.16853792833623746,0.18457330343839828,0.05168495182542568
2017-09-30,0.0,0.0,0.03441119567848946,0.0,0.0,0.04697028220697089,0.0,0.0,0.0,0.0,0.0,0.0,0.01877063399512612,0.009384368738485265,0.0,0.0,0.0,0.0,0.008869736402340081,0.0,0.03940816811424501,0.00932727969960512,0.0,0.0,0.009713586165524063,0.0,0.0,0.07439917485120405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15181510886534133,0.19672160456074597,0.15345181862817317,0.1881349454618634,0.058622096631886035
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.011317487826721985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010581510379393961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2463414172310379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15393675228588863,0.18065805678047112,0.16382030640675418,0.20837291802722566,0.02497155106250654
2017-10-02,0.0,0.0,0.011937653848004636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01190624437897162,0.0,0.0,0.2616510688056563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19348550278823784,0.06606773652671755,0.183424950742182,0.21967704574328897,0.051849797166941027
2017-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27653591284688184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20780961235751239,0.06129315311563783,0.19142004189920644,0.21549904556636512,0.047442234214396396
