datetime,Phoenix_broken clouds,Phoenix_drizzle,Phoenix_dust,Phoenix_few clouds,Phoenix_fog,Phoenix_haze,Phoenix_heavy intensity rain,Phoenix_heavy snow,Phoenix_light intensity drizzle,Phoenix_light intensity shower rain,Phoenix_light rain,Phoenix_mist,Phoenix_moderate rain,Phoenix_overcast clouds,Phoenix_proximity sand/dust whirls,Phoenix_proximity shower rain,Phoenix_proximity thunderstorm,Phoenix_scattered clouds,Phoenix_shower rain,Phoenix_sky is clear,Phoenix_smoke,Phoenix_thunderstorm,Phoenix_thunderstorm with heavy rain,Phoenix_thunderstorm with light rain,Phoenix_thunderstorm with rain,Phoenix_very heavy rain,Phoenix_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-11-13,0.0,0.0,0.0,0.08621093165824857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3775850729382327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05297464296205181,0.12367869774826946,0.16285409322921857,0.2830469156026313,0.011655933776046864
2012-11-14,0.0,0.0,0.0,0.08847487356838941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33714427907737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09511893580327,0.07397575003540531,0.17032349500625468,0.29660066225968873,0.003648603926781647
2012-11-15,0.15314071586407307,0.0,0.0,0.017831099996178486,0.0,0.03476771734161352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20756630838515275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09074268303980847,0.10421776773436854,0.17568653220554434,0.2702778121897884,0.005939445781738547
2012-11-16,0.16421303867487094,0.0,0.0,0.0,0.0,0.013955277138239087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2353897505845669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055344737063179626,0.10902987026146867,0.19136453991859328,0.22445447650076056,0.006248309858320935
2012-11-17,0.03723347868849864,0.0,0.0,0.11190513960939875,0.0,0.01421461745385255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607636919046906,0.0,0.0,0.0,0.01668905661019838,0.0,0.03365323522552835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07356958720783789,0.1419028031478934,0.17982038225630426,0.23171857451828629,0.004660232311497369
2012-11-18,0.15641290529143842,0.0,0.0,0.045289796558790084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020302396617481826,0.0,0.0,0.0,0.0,0.0,0.20291662165518445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0901808777131131,0.03633613891061085,0.18170393010213778,0.2967403497474009,0.003934812546260038
2012-11-19,0.10485652295444374,0.0,0.0,0.15944948604311712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051022679182931706,0.0,0.0,0.0,0.03179787157615935,0.0,0.05118091824804304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12946311415492723,0.017595460221381594,0.17952238267939277,0.27827566053535363,0.0022302008273717834
2012-11-20,0.04131762980972931,0.0,0.0,0.12508734274087804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20476570422990495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1545836756121854,0.062499328054953646,0.16443058902155,0.2604627256661877,0.0041466049178764544
2012-11-21,0.0,0.0,0.0,0.2104916716103669,0.0,0.0,0.0,0.0,0.016612722325078395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16102784782708748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13889955868749576,0.015259769460868369,0.178485504864588,0.27532092080626686,0.0039020044182482873
2012-11-22,0.0,0.0,0.0,0.18216078784608725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984056772683455,0.0,0.15381341113493383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10259341883759318,0.06423693355563553,0.18612734860029126,0.27291334012297136,0.003962546885051348
2012-11-23,0.0,0.0,0.0,0.14132737630567266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054033866949359355,0.0,0.1944828166441865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438402665548067,0.05967473764167195,0.17101547925534652,0.26686552570639627,0.0029854136309936737
2012-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411886671216308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424301281241778,0.0730775005397444,0.18560336307331157,0.2878490752233484,0.0005394057402345388
2012-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38150928399938316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06330329344545324,0.12098698380708671,0.19459579183806067,0.2653618647630175,0.006400624327275541
2012-11-26,0.0,0.0,0.0,0.01841813355250382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3950350684770613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12941493520541503,0.06493887948559106,0.19297430334767554,0.2735778830089878,0.002976344034027292
2012-11-27,0.0,0.0,0.0,0.13554090603322685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28930934398080327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15127914557301964,0.04917239547501711,0.18858707678768516,0.2735756420614117,0.0010469041793428424
2012-11-28,0.09091386608557604,0.0,0.0,0.10152380032273502,0.0,0.0,0.0,0.0,0.018121729591802794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030324985972006464,0.0,0.15988501474013236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15994341893676806,0.015865785135305423,0.1777313384581585,0.2828664545343201,0.0028094609573872183
2012-11-29,0.06759318171213038,0.0,0.0,0.06565477281025277,0.0,0.01673101496975853,0.0,0.0,0.0321067328667688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08767961388463069,0.0,0.1343392542585791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13204314538190323,0.032205257763376016,0.1885032316599431,0.284472353074274,0.0026858234123511237
2012-11-30,0.0,0.0,0.0,0.2648405019458236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09961573780742262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09679596488787522,0.1802825976006112,0.16468177995782016,0.21102373436966884,0.004378159831912202
2012-12-01,0.045216619597582365,0.0,0.0,0.06329752543266433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12129781661696741,0.0,0.14243943143041712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525041727244174,0.04685329357278836,0.1591246612134329,0.26414518259745795,0.005121296814272096
2012-12-02,0.0620287636234528,0.0,0.0,0.018061084124752026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04619752726780884,0.0,0.24489664430252978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18716077917150561,0.05591126356378876,0.1534685380012479,0.24834102773458344,0.0020802808314179157
2012-12-03,0.0,0.0,0.0,0.06623867481951184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02659129979295625,0.0,0.2840305864657268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809586703943558,0.020423109039084213,0.15749979532103883,0.2627606586456182,0.001497205521707991
2012-12-04,0.06327019265657623,0.0,0.0,0.015867969039121643,0.0,0.0,0.0,0.0,0.01619285226176009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11087487467425272,0.0,0.16899178646745416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1751492633326905,0.024950958048542988,0.15952960757927825,0.2622172989275133,0.0029551970128101775
2012-12-05,0.09408839647754334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015992086962679456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10597613435798724,0.0,0.1399408166028829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176657643893927,0.057744957627675474,0.15124974367464036,0.2546081746803126,0.003742045722351683
2012-12-06,0.0837896910459468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14323209244630636,0.0,0.15409024047714054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526584702955707,0.040380713060303795,0.1728390927851383,0.2687478429718828,0.0033441657046570663
2012-12-07,0.15265126662345993,0.0,0.0,0.0364997981130506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10622068361924365,0.0,0.1375474318039348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139563236442783,0.029658810336131557,0.17971651007704173,0.2797179658022564,0.0024647171662934854
