datetime,Las Vegas_broken clouds,Las Vegas_drizzle,Las Vegas_dust,Las Vegas_few clouds,Las Vegas_fog,Las Vegas_haze,Las Vegas_heavy intensity drizzle,Las Vegas_heavy intensity rain,Las Vegas_light intensity drizzle,Las Vegas_light intensity shower rain,Las Vegas_light rain,Las Vegas_light snow,Las Vegas_mist,Las Vegas_moderate rain,Las Vegas_overcast clouds,Las Vegas_proximity thunderstorm,Las Vegas_scattered clouds,Las Vegas_sky is clear,Las Vegas_squalls,Las Vegas_thunderstorm,Las Vegas_thunderstorm with heavy rain,Las Vegas_thunderstorm with light rain,Las Vegas_thunderstorm with rain,Las Vegas_nan,humidity,wind_direction,temperature,pressure,wind_speed
2015-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013734616534074094,0.3069162080740993,0.0,0.0,0.0,0.0,0.0,0.0,0.13981699009113882,0.1129800606469278,0.14777470196983492,0.26421732283910543,0.014560099844819584
2015-10-28,0.0,0.0,0.0,0.0706670243938096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03585273080021282,0.20817564674482783,0.0,0.0,0.0,0.0,0.0,0.0,0.10663199303658029,0.1316424624665817,0.17223476954651606,0.2449366978047903,0.029858675206681357
2015-10-29,0.0807312530353658,0.0,0.0,0.03743376727967736,0.0,0.0,0.0,0.0,0.010864612469618116,0.0,0.07349650846114532,0.0,0.0,0.0,0.010775487611136026,0.0,0.022815683576294665,0.04527457405124738,0.0,0.0,0.0,0.0,0.0,0.0,0.10300335515348595,0.1950845012097244,0.15450328718017411,0.2087516571334719,0.057265312838658954
2015-10-30,0.0,0.0,0.0,0.035736796064603636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014126473658469106,0.0,0.026309987797767956,0.20556735675906293,0.0,0.0,0.0,0.0,0.0,0.0,0.06776903822766088,0.1820174092533455,0.1449994800558351,0.2161532463912588,0.10732021179199606
2015-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2943562583656317,0.0,0.0,0.0,0.0,0.0,0.0,0.07053866690479495,0.2072269162514683,0.15232765546014393,0.23655448763591427,0.04456687472233928
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229852016190236,0.0,0.0,0.0,0.0,0.0,0.0,0.11493334108687879,0.11129549785261221,0.17013869566725726,0.2600150079136688,0.02063225586055932
2015-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158910251627812,0.0,0.0,0.0,0.0,0.0,0.0,0.07728515833572079,0.13157020131123545,0.17332782419563142,0.23664797161408782,0.06527781938054329
2015-11-03,0.01192178319174081,0.0,0.0,0.02451271194117279,0.0,0.010733105520709838,0.0,0.0,0.0,0.0,0.023904690732574747,0.0,0.0,0.0,0.0,0.0,0.012731822605103098,0.20774136619302574,0.0,0.0,0.0,0.0,0.0,0.0,0.09551185482027082,0.16993716495194888,0.14515398568778523,0.20898411456976188,0.08886739978590612
2015-11-04,0.012492049402423412,0.0,0.0,0.023309239595964062,0.0,0.010246298591127563,0.0,0.0,0.0,0.0,0.07133474993939183,0.0,0.0,0.0,0.023309534611022253,0.0,0.03451091972738704,0.10888403556399101,0.0,0.0,0.0,0.0,0.0,0.0,0.16798094450782486,0.189905381909806,0.11288499105293624,0.21188954444596353,0.03325231065216221
2015-11-05,0.03211277383563806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020507479956517333,0.0,0.0,0.0,0.03245492149897194,0.0,0.011091967316367675,0.17389613440147098,0.0,0.0,0.0,0.0,0.0,0.0,0.14078206004142071,0.22343929844008756,0.09779404583940388,0.22110689478327336,0.04681442388684853
2015-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30706776935517766,0.0,0.0,0.0,0.0,0.0,0.0,0.13761356245965933,0.13355671980307068,0.11802921989650533,0.25825991341583204,0.04547281506975495
2015-11-07,0.0,0.0,0.0,0.0,0.0,0.014929852117140105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30759846801528945,0.0,0.0,0.0,0.0,0.0,0.0,0.07857847602958153,0.11596392775120827,0.13365370862010972,0.2729215012409815,0.07635406622568945
2015-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310067008018485,0.0,0.0,0.0,0.0,0.0,0.0,0.09018780763421118,0.19510080284881737,0.12441868874781886,0.25062176398157004,0.02960392876909759
2015-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131968110092072,0.0,0.0,0.0,0.0,0.0,0.0,0.13647045342658135,0.12970030597698642,0.13506072204625777,0.24047722183679868,0.04509448570416857
2015-11-10,0.023752087606063094,0.0,0.0,0.05699042904383703,0.0,0.0,0.0,0.0,0.012151430436246323,0.0,0.011743717518491554,0.0,0.0,0.0,0.04748067144781617,0.0,0.010397801917936954,0.11763990173628902,0.0,0.0,0.0,0.0,0.0,0.0,0.12236508987006378,0.1848064235833726,0.12218661252217565,0.2147830408545236,0.07570279346318427
2015-11-11,0.011949692206947906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011701260412470748,0.2584920861227549,0.0,0.0,0.0,0.0,0.0,0.0,0.0876762006546324,0.22764554307245985,0.10465044361157921,0.23748679052740482,0.06039798339175013
2015-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206870143332234,0.0,0.0,0.0,0.0,0.0,0.0,0.09202216532629143,0.1659442693336695,0.11706249839946122,0.2709598289586878,0.03332422364866664
